id,soc_broad_id,occ_code,title,description
155,99,19-4061,Social Science Research Assistants,"Assist social scientists in laboratory, survey, and other social science
research. May help prepare findings for publication and assist in
laboratory analysis, quality control, or data management. Excludes
""Teaching Assistants, Postsecondary"" (25-9044)."
156,100,19-4071,Forest and Conservation Technicians,"Provide technical assistance regarding the conservation of soil, water,
forests, or related natural resources. May compile data pertaining to size,
content, condition, and other characteristics of forest tracts under the
direction of foresters, or train and lead forest workers in forest
propagation and fire prevention and suppression. May assist conservation
scientists in managing, improving, and protecting rangelands and wildlife
habitats. Excludes ""Conservation Scientists"" (19-1031) and ""Foresters""
(19-1032)."
157,101,19-4092,Forensic Science Technicians,"Collect, identify, classify, and analyze physical evidence related to
criminal investigations. Perform tests on weapons or substances, such as
fiber, hair, and tissue to determine significance to investigation. May
testify as expert witnesses on evidence or crime laboratory techniques. May
serve as specialists in area of expertise, such as ballistics,
fingerprinting, handwriting, or biochemistry."
158,101,19-4099,"Life, Physical, and Social Science Technicians, All Other","All life, physical, and social science technicians not listed separately."
159,102,19-5011,Occupational Health and Safety Specialists,"Review, evaluate, and analyze work environments and design programs and
procedures to control, eliminate, and prevent disease or injury caused by
chemical, physical, and biological agents or ergonomic factors. May conduct
inspections and enforce adherence to laws and regulations governing the
health and safety of individuals. May be employed in the public or private
sector."
160,102,19-5012,Occupational Health and Safety Technicians,"Collect data on work environments for analysis by occupational health and
safety specialists. Implement and conduct evaluation of programs designed
to limit chemical, physical, biological, and ergonomic risks to workers."
161,103,21-1012,"Educational, Guidance, and Career Counselors and Advisors","Advise and assist students and provide educational and vocational guidance
services."
162,103,21-1013,Marriage and Family Therapists,"Diagnose and treat mental and emotional disorders, whether cognitive,
affective, or behavioral, within the context of marriage and family
systems. Apply psychotherapeutic and family systems theories and techniques
in the delivery of services to individuals, couples, and families for the
purpose of treating such diagnosed nervous and mental disorders. Excludes
""Psychologists"" (19-3032 through 19-3039) and ""Social Workers"" (21-1020)."
163,103,21-1015,Rehabilitation Counselors,"Counsel individuals to maximize the independence and employability of
persons coping with personal, social, and vocational difficulties that
result from birth defects, illness, disease, accidents, aging, or the
stress of daily life. Coordinate activities for residents of care and
treatment facilities. Assess client needs and design and implement
rehabilitation programs that may include personal and vocational
counseling, training, and job placement. Excludes ""Occupational Therapists""
(29-1122)."
164,103,21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors","This occupation includes the 2018 and 2010 SOC occupations 21-1011
Substance Abuse and Behavioral Disorder Counselors and 21-1014 Mental
Health Counselors."
165,103,21-1019,"Counselors, All Other",All counselors not listed separately.
166,104,21-1021,"Child, Family, and School Social Workers","Provide social services and assistance to improve the social and
psychological functioning of children and their families and to maximize
the family well-being and the academic functioning of children. May assist
parents, arrange adoptions, and find foster homes for abandoned or abused
children. In schools, they address such problems as teenage pregnancy,
misbehavior, and truancy. May also advise teachers."
167,104,21-1022,Healthcare Social Workers,"Provide individuals, families, and groups with the psychosocial support
needed to cope with chronic, acute, or terminal illnesses. Services include
advising family caregivers. Provide patients with information and
counseling, and make referrals for other services. May also provide case
and care management or interventions designed to promote health, prevent
disease, and address barriers to access to healthcare."
168,104,21-1023,Mental Health and Substance Abuse Social Workers,"Assess and treat individuals with mental, emotional, or substance abuse
problems, including abuse of alcohol, tobacco, and/or other drugs.
Activities may include individual and group therapy, crisis intervention,
case management, client advocacy, prevention, and education."
169,104,21-1029,"Social Workers, All Other",All social workers not listed separately.
170,105,21-1091,Health Education Specialists,"Provide and manage health education programs that help individuals,
families, and their communities maximize and maintain healthy lifestyles.
Use data to identify community needs prior to planning, implementing,
monitoring, and evaluating programs designed to encourage healthy
lifestyles, policies, and environments. May link health systems, health
providers, insurers, and patients to address individual and population
health needs. May serve as resource to assist individuals, other health
professionals, or the community, and may administer fiscal resources for
health education programs. Excludes ""Community Health Workers"" (21-1094)."
171,105,21-1092,Probation Officers and Correctional Treatment Specialists,"Provide social services to assist in rehabilitation of law offenders in
custody or on probation or parole. Make recommendations for actions
involving formulation of rehabilitation plan and treatment of offender,
including conditional release and education and employment stipulations."
172,105,21-1093,Social and Human Service Assistants,"Assist other social and human service providers in providing client
services in a wide variety of fields, such as psychology, rehabilitation,
or social work, including support for families. May assist clients in
identifying and obtaining available benefits and social and community
services. May assist social workers with developing, organizing, and
conducting programs to prevent and resolve problems relevant to substance
abuse, human relationships, rehabilitation, or dependent care. Excludes
""Rehabilitation Counselors"" (21-1015), ""Psychiatric Technicians"" (29-2053),
""Personal Care Aides"" (31-1122), and ""Eligibility Interviewers, Government
Programs"" (43-4061)."
173,105,21-1094,Community Health Workers,"Promote health within a community by assisting individuals to adopt healthy
behaviors. Serve as an advocate for the health needs of individuals by
assisting community residents in effectively communicating with healthcare
providers or social service agencies. Act as liaison or advocate and
implement programs that promote, maintain, and improve individual and
overall community health. May deliver health-related preventive services
such as blood pressure, glaucoma, and hearing screenings. May collect data
to help identify community health needs. Excludes ""Health Education
Specialists"" (21-1091)."
174,105,21-1099,"Community and Social Service Specialists, All Other",All community and social service specialists not listed separately.
175,106,21-2011,Clergy,"Conduct religious worship and perform other spiritual functions associated
with beliefs and practices of religious faith or denomination. Provide
spiritual and moral guidance and assistance to members."
176,107,21-2021,"Directors, Religious Activities and Education","Coordinate or design programs and conduct outreach to promote the religious
education or activities of a denominational group. May provide counseling,
guidance, and leadership relative to marital, health, financial, and
religious problems."
177,108,21-2099,"Religious Workers, All Other",All religious workers not listed separately.
178,109,23-1011,Lawyers,"Represent clients in criminal and civil litigation and other legal
proceedings, draw up legal documents, or manage or advise clients on legal
transactions. May specialize in a single area or may practice broadly in
many areas of law."
179,109,23-1012,Judicial Law Clerks,"Assist judges in court or by conducting research or preparing legal
documents. Excludes ""Lawyers"" (23-1011) and ""Paralegals and Legal
Assistants"" (23-2011)."
180,110,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers","Conduct hearings to recommend or make decisions on claims concerning
government programs or other government-related matters. Determine
liability, sanctions, or penalties, or recommend the acceptance or
rejection of claims or settlements. Excludes ""Arbitrators, Mediators, and
Conciliators"" (23-1022)."
181,110,23-1022,"Arbitrators, Mediators, and Conciliators","Facilitate negotiation and conflict resolution through dialogue. Resolve
conflicts outside of the court system by mutual consent of parties involved."
182,110,23-1023,"Judges, Magistrate Judges, and Magistrates","Arbitrate, advise, adjudicate, or administer justice in a court of law. May
sentence defendant in criminal cases according to government statutes or
sentencing guidelines. May determine liability of defendant in civil cases.
May perform wedding ceremonies."
183,111,23-2011,Paralegals and Legal Assistants,"Assist lawyers by investigating facts, preparing legal documents, or
researching legal precedent. Conduct research to support a legal
proceeding, to formulate a defense, or to initiate legal action. Excludes
""Legal Secretaries and Administrative Assistants"" (43-6012)."
184,112,23-2093,"Title Examiners, Abstractors, and Searchers","Search real estate records, examine titles, or summarize pertinent legal or
insurance documents or details for a variety of purposes. May compile lists
of mortgages, contracts, and other instruments pertaining to titles by
searching public and private records for law firms, real estate agencies,
or title insurance companies. Excludes ""Loan Officers"" (13-2072)."
185,112,23-2099,"Legal Support Workers, All Other",All legal support workers not listed separately.
186,113,25-1011,"Business Teachers, Postsecondary","Teach courses in business administration and management, such as
accounting, finance, human resources, labor and industrial relations,
marketing, and operations research. Includes both teachers primarily
engaged in teaching and those who do a combination of teaching and research."
187,114,25-1021,"Computer Science Teachers, Postsecondary","Teach courses in computer science. May specialize in a field of computer
science, such as the design and function of computers or operations and
research analysis. Includes both teachers primarily engaged in teaching and
those who do a combination of teaching and research."
188,114,25-1022,"Mathematical Science Teachers, Postsecondary","Teach courses pertaining to mathematical concepts, statistics, and
actuarial science and to the application of original and standardized
mathematical techniques in solving specific problems and situations.
Includes both teachers primarily engaged in teaching and those who do a
combination of teaching and research."
189,115,25-1031,"Architecture Teachers, Postsecondary","Teach courses in architecture and architectural design, such as
architectural environmental design, interior architecture/design, and
landscape architecture. Includes both teachers primarily engaged in
teaching and those who do a combination of teaching and research."
190,115,25-1032,"Engineering Teachers, Postsecondary","Teach courses pertaining to the application of physical laws and principles
of engineering for the development of machines, materials, instruments,
processes, and services. Includes teachers of subjects such as chemical,
civil, electrical, industrial, mechanical, mineral, and petroleum
engineering. Includes both teachers primarily engaged in teaching and those
who do a combination of teaching and research. Excludes ""Computer Science
Teachers, Postsecondary"" (25-1021)."
191,116,25-1041,"Agricultural Sciences Teachers, Postsecondary","Teach courses in the agricultural sciences. Includes teachers of agronomy,
dairy sciences, fisheries management, horticultural sciences, poultry
sciences, range management, and agricultural soil conservation. Includes
both teachers primarily engaged in teaching and those who do a combination
of teaching and research. Excludes ""Forestry and Conservation Science
Teachers, Postsecondary"" (25-1043)."
192,116,25-1042,"Biological Science Teachers, Postsecondary","Teach courses in biological sciences. Includes both teachers primarily
engaged in teaching and those who do a combination of teaching and research."
193,116,25-1043,"Forestry and Conservation Science Teachers, Postsecondary","Teach courses in forestry and conservation science. Includes both teachers
primarily engaged in teaching and those who do a combination of teaching
and research. Excludes ""Agricultural Science Teachers, Postsecondary""
(25-1041) and ""Environmental Science Teachers, Postsecondary"" (25-1053)."
194,117,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","Teach courses in the physical sciences, except chemistry and physics.
Includes both teachers primarily engaged in teaching, and those who do a
combination of teaching and research."
195,117,25-1052,"Chemistry Teachers, Postsecondary","Teach courses pertaining to the chemical and physical properties and
compositional changes of substances. Work may include providing instruction
in the methods of qualitative and quantitative chemical analysis. Includes
both teachers primarily engaged in teaching, and those who do a combination
of teaching and research. Excludes ""Biological Science Teachers,
Postsecondary"" (25-1042) who teach biochemistry."
196,117,25-1053,"Environmental Science Teachers, Postsecondary","Teach courses in environmental science. Includes both teachers primarily
engaged in teaching and those who do a combination of teaching and
research. Excludes ""Forestry and Conservation Science Teachers,
Postsecondary"" (25-1043)."
197,117,25-1054,"Physics Teachers, Postsecondary","Teach courses pertaining to the laws of matter and energy. Includes both
teachers primarily engaged in teaching and those who do a combination of
teaching and research."
198,118,25-1061,"Anthropology and Archeology Teachers, Postsecondary","Teach courses in anthropology or archeology. Includes both teachers
primarily engaged in teaching and those who do a combination of teaching
and research."
199,118,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","Teach courses pertaining to the culture and development of an area, an
ethnic group, or any other group, such as Latin American studies, women's
studies, or urban affairs. Includes both teachers primarily engaged in
teaching and those who do a combination of teaching and research."
200,118,25-1063,"Economics Teachers, Postsecondary","Teach courses in economics. Includes both teachers primarily engaged in
teaching and those who do a combination of teaching and research."
201,118,25-1064,"Geography Teachers, Postsecondary","Teach courses in geography. Includes both teachers primarily engaged in
teaching and those who do a combination of teaching and research."
202,118,25-1065,"Political Science Teachers, Postsecondary","Teach courses in political science, international affairs, and
international relations. Includes both teachers primarily engaged in
teaching and those who do a combination of teaching and research."
203,118,25-1066,"Psychology Teachers, Postsecondary","Teach courses in psychology, such as child, clinical, and developmental
psychology, and psychological counseling. Includes both teachers primarily
engaged in teaching and those who do a combination of teaching and research."
204,118,25-1067,"Sociology Teachers, Postsecondary","Teach courses in sociology. Includes both teachers primarily engaged in
teaching and those who do a combination of teaching and research."
205,118,25-1069,"Social Sciences Teachers, Postsecondary, All Other",All postsecondary social sciences teachers not listed separately.
206,119,25-1071,"Health Specialties Teachers, Postsecondary","Teach courses in health specialties, in fields such as dentistry,
laboratory technology, medicine, pharmacy, public health, therapy, and
veterinary medicine. Excludes ""Biological Science Teachers, Postsecondary""
(25-1042) and ""Nursing Instructors and Teachers, Postsecondary"" (25-1072)
who teach medical science."
207,119,25-1072,"Nursing Instructors and Teachers, Postsecondary","Demonstrate and teach patient care in classroom and clinical units to
nursing students. Includes both teachers primarily engaged in teaching and
those who do a combination of teaching and research."
208,120,25-1081,"Education Teachers, Postsecondary","Teach courses pertaining to education, such as counseling, curriculum,
guidance, instruction, teacher education, and teaching English as a second
language. Includes both teachers primarily engaged in teaching and those
who do a combination of teaching and research."
209,120,25-1082,"Library Science Teachers, Postsecondary","Teach courses in library science. Includes both teachers primarily engaged
in teaching and those who do a combination of teaching and research."
210,121,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary","Teach courses in criminal justice, corrections, and law enforcement
administration. Includes both teachers primarily engaged in teaching and
those who do a combination of teaching and research."
211,121,25-1112,"Law Teachers, Postsecondary","Teach courses in law. Includes both teachers primarily engaged in teaching
and those who do a combination of teaching and research."
212,121,25-1113,"Social Work Teachers, Postsecondary","Teach courses in social work. Includes both teachers primarily engaged in
teaching and those who do a combination of teaching and research."
213,122,25-1121,"Art, Drama, and Music Teachers, Postsecondary","Teach courses in drama, music, and the arts including fine and applied art,
such as painting and sculpture, or design and crafts. Includes both
teachers primarily engaged in teaching and those who do a combination of
teaching and research."
214,122,25-1122,"Communications Teachers, Postsecondary","Teach courses in communications, such as organizational communications,
public relations, radio/television broadcasting, and journalism. Includes
both teachers primarily engaged in teaching and those who do a combination
of teaching and research."
215,122,25-1123,"English Language and Literature Teachers, Postsecondary","Teach courses in English language and literature, including linguistics and
comparative literature. Includes both teachers primarily engaged in
teaching and those who do a combination of teaching and research."
216,122,25-1124,"Foreign Language and Literature Teachers, Postsecondary","Teach languages and literature courses in languages other than English.
Includes teachers of American Sign Language (ASL). Includes both teachers
primarily engaged in teaching and those who do a combination of teaching
and research."
217,122,25-1125,"History Teachers, Postsecondary","Teach courses in human history and historiography. Includes both teachers
primarily engaged in teaching and those who do a combination of teaching
and research."
218,122,25-1126,"Philosophy and Religion Teachers, Postsecondary","Teach courses in philosophy, religion, and theology. Includes both teachers
primarily engaged in teaching and those who do a combination of teaching
and research."
219,123,25-1192,"Family and Consumer Sciences Teachers, Postsecondary","Teach courses in childcare, family relations, finance, nutrition, and
related subjects pertaining to home management. Includes both teachers
primarily engaged in teaching and those who do a combination of teaching
and research."
220,123,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary","Teach courses pertaining to recreation, leisure, and fitness studies,
including exercise physiology and facilities management. Includes both
teachers primarily engaged in teaching and those who do a combination of
teaching and research."
221,123,25-1194,"Career/Technical Education Teachers, Postsecondary","Teach vocational courses intended to provide occupational training below
the baccalaureate level in subjects such as construction, mechanics/repair,
manufacturing, transportation, or cosmetology, primarily to students who
have graduated from or left high school. Teaching takes place in public or
private schools whose primary business is academic or vocational education.
Excludes ""Training and Development Specialists"" (13-1151), ""Adult Basic
Education, Adult Secondary Education, and English as a Second Language
Instructors"" (25-3011), and postsecondary teachers classified elsewhere in
the 25-1000 minor group. Flight instructors are included with ""Aircraft
Pilots and Flight Engineers"" (53-2010)."
222,123,25-1199,"Postsecondary Teachers, All Other",All postsecondary teachers not listed separately.
223,124,25-2011,"Preschool Teachers, Except Special Education","Instruct preschool-aged students, following curricula or lesson plans, in
activities designed to promote social, physical, and intellectual growth.
Excludes ""Special Education Teachers"" (25-2050), ""Substitute Teachers,
Short-Term"" (25-3031), and ""Childcare Workers"" (39-9011)."
224,124,25-2012,"Kindergarten Teachers, Except Special Education","Teach academic and social skills to kindergarten students. Excludes
""Special Education Teachers"" (25-2050) and ""Substitute Teachers,
Short-Term"" (25-3031)."
225,125,25-2021,"Elementary School Teachers, Except Special Education","Teach academic and social skills to students at the elementary school
level. Excludes ""Special Education Teachers"" (25-2050) and ""Substitute
Teachers, Short-Term"" (25-3031)."
226,125,25-2022,"Middle School Teachers, Except Special and Career/Technical Education","Teach one or more subjects to students at the middle, intermediate, or
junior high school level. Excludes ""Career/Technical Education Teachers,
Middle School"" (25-2023), ""Special Education Teachers"" (25-2050), and
""Substitute Teachers, Short Term"" (25-3031)."
227,125,25-2023,"Career/Technical Education Teachers, Middle School","Teach occupational, vocational, career, or technical subjects to students
at the middle, intermediate, or junior high school level. Excludes ""Special
Education Teachers"" (25-2050) and ""Substitute Teachers, Short-Term""
(25-3031)."
228,126,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education","Teach one or more subjects to students at the secondary school level.
Excludes ""Career/Technical Education Teachers, Secondary School"" (25-2032),
""Special Education Teachers"" (25-2050), and ""Substitute Teachers,
Short-Term"" (25-3031)."
229,126,25-2032,"Career/Technical Education Teachers, Secondary School","Teach occupational, vocational, career, or technical subjects to students
at the secondary school level. Excludes ""Special Education Teachers""
(25-2050), and ""Substitute Teachers, Short-Term"" (25-3031)."
230,127,25-2051,"Special Education Teachers, Preschool","Teach academic, social, and life skills to preschool-aged students with
learning, emotional, or physical disabilities. Includes teachers who
specialize and work with students who are blind or have visual impairments;
students who are deaf or have hearing impairments; and students with
intellectual disabilities. Excludes ""Substitute Teachers, Short-Term""
(25-3031)."
231,127,25-2052,"Special Education Teachers, Kindergarten and Elementary School","This occupation includes the 2018 SOC occupations 25-2055 Special Education
Teachers, Kindergarten and 25-2056 Special Education Teachers, Elementary
School and the 2010 SOC occupation 25-2052 Special Education Teachers,
Kindergarten and Elementary School."
232,127,25-2057,"Special Education Teachers, Middle School","Teach academic, social, and life skills to middle school students with
learning, emotional, or physical disabilities. Includes teachers who
specialize and work with students who are blind or have visual impairments;
students who are deaf or have hearing impairments; and students with
intellectual disabilities. Excludes ""Substitute Teachers, Short-Term""
(25-3031)."
233,127,25-2058,"Special Education Teachers, Secondary School","Teach academic, social, and life skills to secondary school students with
learning, emotional, or physical disabilities. Includes teachers who
specialize and work with students who are blind or have visual impairments;
students who are deaf or have hearing impairments; and students with
intellectual disabilities. Excludes ""Substitute Teachers, Short-Term""
(25-3031)."
234,127,25-2059,"Special Education Teachers, All Other",All special education teachers not listed separately.
235,128,25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Teach or instruct out-of-school youths and adults in basic education,
literacy, or English as a Second Language classes, or in classes for
earning a high school equivalency credential."
236,129,25-3021,Self-Enrichment Teachers,"Teach or instruct individuals or groups for the primary purpose of
self-enrichment or recreation, rather than for an occupational objective,
educational attainment, competition, or fitness. Excludes ""Coaches and
Scouts"" (27-2022) and ""Exercise Trainers and Group Fitness Instructors""
(39-9031). Flight instructors are included with ""Aircraft Pilots and Flight
Engineers"" (53-2010)."
237,130,25-3031,"Substitute Teachers, Short-Term","Teach students on a short-term basis as a temporary replacement for a
regular classroom teacher, typically using the regular teacher's lesson
plan. Excludes long-term substitute teachers who perform all the duties of
a regular teacher; these teachers are coded within the 25-1000 or 25-2000
minor groups."
238,130,25-3097,"Tutors and Teachers and Instructors, All Other","This occupation includes the 2018 SOC occupations 25-3041 Tutors and
25-3099 Teachers and Instructors, All Other and the OEWS-specific 2010 SOC
occupation 25-3097 Teachers and Instructors, All Other, Except Substitute
Teachers."
239,131,25-4011,Archivists,"Appraise, edit, and direct safekeeping of permanent records and
historically valuable documents. Participate in research activities based
on archival materials."
240,131,25-4012,Curators,"Administer collections, such as artwork, collectibles, historic items, or
scientific specimens of museums or other institutions. May conduct
instructional, research, or public service activities of institution."
241,131,25-4013,Museum Technicians and Conservators,"Restore, maintain, or prepare objects in museum collections for storage,
research, or exhibit. May work with specimens such as fossils, skeletal
parts, or botanicals; or artifacts, textiles, or art. May identify and
record objects or install and arrange them in exhibits. Includes book or
document conservators."
242,132,25-4022,Librarians and Media Collections Specialists,Loading...
243,133,25-4031,Library Technicians,"Assist librarians by helping readers in the use of library catalogs,
databases, and indexes to locate books and other materials; and by
answering questions that require only brief consultation of standard
reference. Compile records; sort and shelve books or other media; remove or
repair damaged books or other media; register patrons; and check materials
in and out of the circulation process. Replace materials in shelving area
(stacks) or files. Includes bookmobile drivers who assist with providing
services in mobile libraries."
244,134,25-9021,Farm and Home Management Educators,"Instruct and advise individuals and families engaged in agriculture,
agricultural-related processes, or home management activities. Demonstrate
procedures and apply research findings to advance agricultural and home
management activities. May develop educational outreach programs. May
instruct on either agricultural issues such as agricultural processes and
techniques, pest management, and food safety, or on home management issues
such as budgeting, nutrition, and child development. Excludes ""Dietitians
and Nutritionists"" (29-1031)."
245,135,25-9031,Instructional Coordinators,"Develop instructional material, coordinate educational content, and
incorporate current technology into instruction in order to provide
guidelines to educators and instructors for developing curricula and
conducting courses. May train and coach teachers. Includes educational
consultants and specialists, and instructional material directors."
246,136,25-9044,"Teaching Assistants, Postsecondary","Assist faculty or other instructional staff in postsecondary institutions
by performing instructional support activities, such as developing teaching
materials, leading discussion groups, preparing and giving examinations,
and grading examinations or papers. Graduate students who teach one or more
full courses should be classified in the 25-1000 minor group."
247,136,25-9045,"Teaching Assistants, Except Postsecondary","This occupation includes the 2018 SOC occupations 25-9042 Teaching
Assistants, Preschool, Elementary, Middle, and Secondary School, Except
Special Education; 25-9043 Teaching Assistants, Special Education; and
25-9049 Teaching Assistants, All Other; and the 2010 SOC occupation 25-9041
Teacher Assistants."
248,137,25-9099,"Educational Instruction and Library Workers, All Other",All educational instruction and library workers not listed separately.
249,138,27-1011,Art Directors,"Formulate design concepts and presentation approaches for visual
productions and media, such as print, broadcasting, video, and film. Direct
workers engaged in artwork or layout design. Excludes ""Set and Exhibit
Designers"" (27-1027)."
250,138,27-1012,Craft Artists,"Create or reproduce handmade objects for sale and exhibition using a
variety of techniques, such as welding, weaving, pottery, and needlecraft."
251,138,27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",Create original artwork using any of a wide variety of media and techniques.
252,138,27-1014,Special Effects Artists and Animators,"Create special effects or animations using film, video, computers, or other
electronic tools and media for use in products, such as computer games,
movies, music videos, and commercials."
253,138,27-1019,"Artists and Related Workers, All Other",All artists and related workers not listed separately.
254,139,27-1021,Commercial and Industrial Designers,"Design and develop manufactured products, such as cars, home appliances,
and children's toys. Combine artistic talent with research on product use,
marketing, and materials to create the most functional and appealing
product design."
255,139,27-1022,Fashion Designers,"Design clothing and accessories. Create original designs or adapt fashion
trends."
256,139,27-1023,Floral Designers,"Design, cut, and arrange live, dried, or artificial flowers and foliage."
257,139,27-1024,Graphic Designers,"Design or create graphics to meet specific commercial or promotional needs,
such as packaging, displays, or logos. May use a variety of mediums to
achieve artistic or decorative effects. Excludes ""Web and Digital Interface
Designers"" (15-1255)."
258,139,27-1025,Interior Designers,"Plan, design, and furnish the internal space of rooms or buildings. Design
interior environments or create physical layouts that are practical,
aesthetic, and conducive to the intended purposes. May specialize in a
particular field, style, or phase of interior design. Excludes ""Merchandise
Displayers and Window Trimmers"" (27-1026)."
259,139,27-1026,Merchandise Displayers and Window Trimmers,"Plan and erect commercial displays, such as those in windows and interiors
of retail stores and at trade exhibitions."
260,139,27-1027,Set and Exhibit Designers,"Design special exhibits and sets for film, video, television, and theater
productions. May study scripts, confer with directors, and conduct research
to determine appropriate architectural styles."
261,139,27-1029,"Designers, All Other",All designers not listed separately.
262,140,27-2011,Actors,"Play parts in stage, television, radio, video, or film productions, or
other settings for entertainment, information, or instruction. Interpret
serious or comic role by speech, gesture, and body movement to entertain or
inform audience. May dance and sing."
263,140,27-2012,Producers and Directors,"Produce or direct stage, television, radio, video, or film productions for
entertainment, information, or instruction. Responsible for creative
decisions, such as interpretation of script, choice of actors or guests,
set design, sound, special effects, and choreography."
264,141,27-2021,Athletes and Sports Competitors,Compete in athletic events.
265,141,27-2022,Coaches and Scouts,"Instruct or coach groups or individuals in the fundamentals of sports for
the primary purpose of competition. Demonstrate techniques and methods of
participation. May evaluate athletes' strengths and weaknesses as possible
recruits or to improve the athletes' technique to prepare them for
competition. Those required to hold teaching certifications should be
reported in the appropriate teaching category. Excludes ""Athletic Trainers""
(29-9091)."
266,141,27-2023,"Umpires, Referees, and Other Sports Officials","Officiate at competitive athletic or sporting events. Detect infractions of
rules and decide penalties according to established regulations. Includes
all sporting officials, referees, and competition judges."
267,142,27-2031,Dancers,"Perform dances. May perform on stage, for broadcasting, or for video
recording."
268,142,27-2032,Choreographers,"Create new dance routines. Rehearse performance of routines. May direct and
stage presentations."
269,143,27-2041,Music Directors and Composers,"Conduct, direct, plan, and lead instrumental or vocal performances by
musical artists or groups, such as orchestras, bands, choirs, and glee
clubs; or create original works of music."
270,143,27-2042,Musicians and Singers,"Play one or more musical instruments or sing. May perform on stage, for
broadcasting, or for sound or video recording."
271,144,27-2090,"Miscellaneous Entertainers and Performers, Sports and Related Workers","This occupation includes the 2018 SOC occupations 27-2091 Disc Jockeys,
Except Radio; and 27-2099 Entertainers and Performers, Sports and Related
Workers, All Other; and the 2010 SOC occupation 27-2099 Entertainers and
Performers, Sports and Related Workers, All Other."
272,145,27-3011,Broadcast Announcers and Radio Disc Jockeys,"Speak or read from scripted materials, such as news reports or commercial
messages, on radio, television, or other communications media. May play and
queue music, announce artist or title of performance, identify station, or
interview guests. Excludes ""News Analysts, Reporters, and Journalists""
(27-3023)."
273,146,27-3023,"News Analysts, Reporters, and Journalists","Narrate or write news stories, reviews, or commentary for print, broadcast,
or other communications media such as newspapers, magazines, radio, or
television. May collect and analyze information through interview,
investigation, or observation."
274,147,27-3031,Public Relations Specialists,"Promote or create an intended public image for individuals, groups, or
organizations. May write or select material for release to various
communications media. May specialize in using social media."
275,148,27-3041,Editors,"Plan, coordinate, revise, or edit written material. May review proposals
and drafts for possible publication."
276,148,27-3042,Technical Writers,"Write technical materials, such as equipment manuals, appendices, or
operating and maintenance instructions. May assist in layout work."
277,148,27-3043,Writers and Authors,"Originate and prepare written material, such as scripts, stories,
advertisements, and other material. Excludes ""News Analysts, Reporters, and
Journalists"" (27-3023), ""Public Relations Specialists"" (27-3031), and
""Technical Writers"" (27-3042)."
278,149,27-3091,Interpreters and Translators,"Interpret oral or sign language, or translate written text from one
language into another."
279,149,27-3092,Court Reporters and Simultaneous Captioners,"Use verbatim methods and equipment to capture, store, retrieve, and
transcribe pretrial and trial proceedings or other information. Includes
stenocaptioners who operate computerized stenographic captioning equipment
to provide captions of live or prerecorded broadcasts for hearing-impaired
viewers."
280,149,27-3099,"Media and Communication Workers, All Other",All media and communication workers not listed separately.
281,149,27-4011,Audio and Video Technicians,"Set up, maintain, and dismantle audio and video equipment, such as
microphones, sound speakers, connecting wires and cables, sound and mixing
boards, video cameras, video monitors and servers, and related electronic
equipment for live or recorded events, such as concerts, meetings,
conventions, presentations, podcasts, news conferences, and sporting
events. Excludes ""Sound Engineering Technicians"" (27-4014), ""Lighting
Technicians"" (27-4015), and ""Audiovisual Equipment Installers and
Repairers"" (49-2097)."
282,149,27-4012,Broadcast Technicians,"Set up, operate, and maintain the electronic equipment used to acquire,
edit, and transmit audio and video for radio or television programs.
Control and adjust incoming and outgoing broadcast signals to regulate
sound volume, signal strength, and signal clarity. Operate satellite,
microwave, or other transmitter equipment to broadcast radio or television
programs."
283,149,27-4014,Sound Engineering Technicians,"Assemble and operate equipment to record, synchronize, mix, edit, or
reproduce sound, including music, voices, or sound effects, for theater,
video, film, television, podcasts, sporting events, and other productions.
Excludes ""Audio and Video Technicians"" (27-4011)."
284,150,27-4021,Photographers,"Photograph people, landscapes, merchandise, or other subjects. May use
lighting equipment to enhance a subject's appearance. May use editing
software to produce finished images and prints. Includes commercial and
industrial photographers, scientific photographers, and photojournalists.
Excludes ""Camera Operators, Television, Video, and Film"" (27-4031)."
285,151,27-4031,"Camera Operators, Television, Video, and Film","Operate television, video, or film camera to record images or scenes for
television, video, or film productions."
286,151,27-4032,Film and Video Editors,"Edit moving images on film, video, or other media. May work with a producer
or director to organize images for final production. May edit or
synchronize soundtracks with images. Excludes ""Sound Engineering
Technicians"" (27-4014)."
287,151,27-4098,"Lighting Technicians and Media and Communication Equipment Workers, All Other","This occupation includes the 2018 SOC occupations 27-4015 Lighting
Technicians and 27-4099 Media and Communication Equipment Workers, All
Other and the 2010 SOC occupation 27-4099 Media and Communication Equipment
Workers, All Other."
288,152,29-1011,Chiropractors,"Assess, treat, and care for patients by manipulation of spine and
musculoskeletal system. May provide spinal adjustment or address sacral or
pelvic misalignment."
